energy,tempo,danceability,loudness,liveness,valence,track_artist,time_signature,speechiness,track_popularity,uri,track_id,track_name,instrumentalness,mode,key,duration_ms,acousticness,type,genre
0.43,91.844,0.515,-9.935,0.129,0.104,Radiohead,4,0.0372,86,spotify:track:70LcF31zb1H0PyJoS1Sx1r,70LcF31zb1H0PyJoS1Sx1r,Creep,0.000133,1,7,238640,0.0097,music,"rock,classic"
0.635,103.019,0.617,-6.769,0.164,0.446,"The Chainsmokers, Coldplay",4,0.0317,86,spotify:track:6RUKPb4LETWmmr3iAEQktW,6RUKPb4LETWmmr3iAEQktW,Something Just Like This,1.44e-05,0,11,247160,0.0498,music,"pop,soft"
0.843,122.064,0.619,-5.348,0.164,0.746,Morgan Wallen,4,0.0284,86,spotify:track:7hR22TOX3RorxJPcsz5Wbo,7hR22TOX3RorxJPcsz5Wbo,Love Somebody,0.000118,0,5,204829,0.00948,music,"pop,mainstream"
0.782,119.992,0.727,-8.529,0.225,0.655,"Adam Port, Stryv, Keinemusik, Orso, Malachiii",4,0.042,86,spotify:track:1BJJbSX6muJVF2AK7uH1x4,1BJJbSX6muJVF2AK7uH1x4,Move,0.336,0,8,177599,0.0563,music,"pop,mainstream"
0.551,143.008,0.559,-7.231,0.11,0.392,SZA,4,0.132,86,spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2,4iZ4pt7kvcaH6Yo8UoZ4s2,Snooze,0.0,1,5,201800,0.141,music,"r&b,modern"
0.783,103.001,0.705,-4.783,0.0984,0.454,Kapo,4,0.0403,86,spotify:track:5QjmUqgpPQgXgg4606DqZF,5QjmUqgpPQgXgg4606DqZF,UWAIE,0.0,0,9,172427,0.138,music,"latin,modern"
0.752,100.076,0.841,-4.735,0.949,0.67,Shakira,4,0.105,86,spotify:track:3OJDtCdYs8QJnui708tEU3,3OJDtCdYs8QJnui708tEU3,Soltera,0.00046,1,2,214643,0.167,music,"latin,modern"
0.581,99.973,0.805,-5.091,0.0933,0.528,"Cris Mj, FloyyMenor, LOUKI",4,0.0601,86,spotify:track:6PhRhocBXP4y7NpciGmzra,6PhRhocBXP4y7NpciGmzra,Después De La 1,0.0202,0,6,177600,0.0303,music,"latin,modern"
0.709,81.012,0.722,-4.95,0.0804,0.604,Shaboozey,4,0.0273,86,spotify:track:2FQrifJ1N335Ljm3TjTVVf,2FQrifJ1N335Ljm3TjTVVf,A Bar Song (Tipsy),0.0,1,9,171292,0.0633,music,"pop,mainstream"
0.646,115.842,0.645,-8.334,0.074,0.295,Ariana Grande,4,0.0427,86,spotify:track:51ZQ1vr10ffzbwIjDCwqm4,51ZQ1vr10ffzbwIjDCwqm4,we can't be friends (wait for your love),3.04e-05,1,5,228639,0.0615,music,"pop,global"
0.917,100.987,0.562,-2.768,0.488,0.501,Lady Gaga,4,0.117,86,spotify:track:19KlZwqlT3fguP2BeHF1Q1,19KlZwqlT3fguP2BeHF1Q1,Disease,0.0,0,11,229997,0.0513,music,"pop,mainstream"
0.296,115.284,0.351,-10.109,0.095,0.12,"Billie Eilish, Khalid",4,0.0333,86,spotify:track:0u2P5u6lvoDfwTYjAADbn4,0u2P5u6lvoDfwTYjAADbn4,lovely (with Khalid),0.0,0,4,200186,0.934,music,"pop,soft"
0.537,122.769,0.445,-8.532,0.0944,0.131,Tom Odell,4,0.04,86,spotify:track:3JvKfv6T31zO0ini8iNItO,3JvKfv6T31zO0ini8iNItO,Another Love,1.65e-05,0,4,244360,0.695,music,"pop,soft"
0.697,138.992,0.74,-4.912,0.224,0.732,Sabrina Carpenter,4,0.034,86,spotify:track:6dgUya35uo964z7GZXM07g,6dgUya35uo964z7GZXM07g,Nonsense,0.0,1,8,163648,0.0268,music,"pop,soft"
0.663,121.07,0.6,-5.802,0.119,0.286,One Direction,4,0.0477,86,spotify:track:4nVBt6MZDDP6tRVdQTgxJg,4nVBt6MZDDP6tRVdQTgxJg,Story of My Life,0.0,1,3,245493,0.225,music,"pop,soft"
0.448,95.05,0.599,-6.312,0.106,0.168,Ed Sheeran,3,0.0232,86,spotify:track:0tgVpDi06FyKpA1z0VMD4v,0tgVpDi06FyKpA1z0VMD4v,Perfect,0.0,1,8,263400,0.163,music,"pop,soft"
0.735,88.98,0.644,-5.747,0.161,0.418,SZA,4,0.0391,86,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,1Qrg8KqiBpW07V7PNxwwwL,Kill Bill,0.144,1,8,153947,0.0521,music,"r&b,modern"
0.711,146.921,0.487,-4.22,0.152,0.317,Jin,4,0.0322,85,spotify:track:4p7DTkyrKqT98xlIwYYfXz,4p7DTkyrKqT98xlIwYYfXz,Running Wild,0.0,1,8,151647,0.000175,music,"pop,mainstream"
0.904,167.033,0.739,-2.655,0.0948,0.788,KATSEYE,4,0.0442,85,spotify:track:6aJn7Cst74cj4lNIiPRgav,6aJn7Cst74cj4lNIiPRgav,Touch,1.03e-05,0,5,129883,0.549,music,"pop,mainstream"
0.628,119.98,0.757,-6.715,0.221,0.321,Don Toliver,4,0.101,85,spotify:track:2c7z5oRcPBbqRaBY2mLWcf,2c7z5oRcPBbqRaBY2mLWcf,NEW DROP,0.0209,0,4,217333,0.189,music,"pop,mainstream"
0.557,85.043,0.358,-7.398,0.0902,0.494,James Arthur,4,0.059,85,spotify:track:5uCax9HTNlzGybIStD3vDh,5uCax9HTNlzGybIStD3vDh,Say You Won't Let Go,0.0,1,10,211467,0.695,music,"pop,soft"
0.607,81.001,0.684,-8.127,0.191,0.498,Miguel,4,0.1,85,spotify:track:0JXXNGljqupsJaZsgSbMZV,0JXXNGljqupsJaZsgSbMZV,Sure Thing,0.000307,0,11,195373,0.0267,music,"pop,soft"
0.731,101.654,0.483,-6.696,0.151,0.484,Vance Joy,4,0.0381,85,spotify:track:2uXlHCUbq9OMUwx3hrk06o,2uXlHCUbq9OMUwx3hrk06o,Riptide,0.0,1,1,204280,0.436,music,"folk,indie"
0.192,175.212,0.369,-12.151,0.0954,0.148,Zach Bryan,3,0.04,85,spotify:track:3WMj8moIAXJhHsyLaqIIHI,3WMj8moIAXJhHsyLaqIIHI,Something in the Orange,8.35e-06,0,4,228013,0.555,music,"pop,soft"
0.745,180.098,0.464,-3.202,0.363,0.262,"Hanumankind, Kalmi",4,0.161,85,spotify:track:0OA00aPt3BV10qeMIs3meW,0OA00aPt3BV10qeMIs3meW,Big Dawgs,0.0,0,4,190667,0.0235,music,"hip-hop,desi"
0.268,102.617,0.371,-10.506,0.104,0.165,Coldplay,3,0.0281,85,spotify:track:7D0RhFcb3CrfPuTJ0obrod,7D0RhFcb3CrfPuTJ0obrod,Sparks,0.0517,1,1,227093,0.748,music,"ambient,academic"
0.471,105.029,0.472,-5.692,0.14,0.219,Benson Boone,3,0.0603,85,spotify:track:6tNQ70jh4OwmPGpYy6R2o9,6tNQ70jh4OwmPGpYy6R2o9,Beautiful Things,0.0,1,10,180304,0.151,music,"pop,mainstream"
0.626,100.02,0.763,-5.637,0.205,0.78,Cris Mj,4,0.0433,85,spotify:track:5Uptvz6j1sjDKxidAcnH2L,5Uptvz6j1sjDKxidAcnH2L,SI NO ES CONTIGO,0.225,0,5,156171,0.0859,music,"latin,reggaeton"
0.841,109.021,0.635,-5.379,0.0622,0.424,Bruno Mars,4,0.0422,85,spotify:track:7BqBn9nzAq8spo5e7cZ0dJ,7BqBn9nzAq8spo5e7cZ0dJ,Just the Way You Are,0.0,1,5,220734,0.0134,music,"pop,soft"
0.764,148.853,0.666,-6.297,0.347,0.729,"Tito Double P, Grupo Frontera",4,0.116,85,spotify:track:2lAUq68F2bt7Kc218n9FPp,2lAUq68F2bt7Kc218n9FPp,AY MAMÁ,0.0,0,4,163115,0.366,music,"latin,modern"
