series_title,genres,author,sales_point,description,publisher,pub_date,cover_url,link,original_title,mood_kor,mood_eng
시월드가 내게 집착한다,드라마/성장,"승우 (지은이), 한윤설 (원작)",2995,"황실에서 개최한 사냥 대회에 참석하게 된 페레샤티와 대공. 대공은 사냥 대회 동안 혼자 남게 될 페레샤티를 걱정해 자신의 측근들로 하여금 그녀를 보호한다. 사냥 대회 당일, 대공이 사냥에 나선 사이 근처에 머물던 페레샤티는 갑자기 무너진 천막에 깔리며 부상을 당하고….",영컴(YOUNG COM),2026-03-24,https://image.aladin.co.kr/product/38835/48/coversum/k322137383_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=388354826,총 2권 포함 (대표작: 시월드가 내게 집착한다 7 - 만화),따뜻하고 포근한 힐링,warm and cozy healing
"행복아, 어서 와",드라마/성장,"나태주 (지은이), 로로 (그림)",2976,"대한민국을 대표하는 서정 시인 나태주의 시들을 바탕으로 네이버 웹툰 작가 로로가 그림을 그린 웹툰 만화시집 시리즈의 ‘행복’편, 『행복아, 어서 와』가 출간되었다. 기존의 전통적인 시집 형식을 넘어, 시와 만화가 조화를 이루는 새로운 시적 경험을 선사하는 이 시리즈는 첫 번째 ‘위로’, 두 번째 ‘사랑’에 이어 세 번째로 ‘행복’을 주제로 한 작품이다.",더블북,2025-04-10,https://image.aladin.co.kr/product/36179/27/coversum/k572038391_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=361792775,"총 1권 포함 (대표작: 행복아, 어서 와 - 너에게 선물하는 작은 기쁨)",따뜻하고 포근한 힐링,warm and cozy healing
고랭순대 작품집,드라마/성장,고랭순대 (지은이),2958,블로그와 포스타입을 통해 작품을 발표하며 큰 반향을 얻었던 고랭순대 작가의 첫 작품집이 단행본으로 묶였다. 투박하지만 귀여운 그림체로 서늘할 만큼 불편한 이야기를 풀어놓지만 결국은 가슴을 흔드는 천재 스토리텔러 고랭순대의 첫 단행본이다.,대원씨아이(만화),2026-04-15,https://image.aladin.co.kr/product/39066/30/coversum/k572137756_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=390663025,총 4권 포함 (대표작: 고랭순대 작품집 6),깔끔하고 현대적인 일상,minimalist and modern daily life
수화 배우는 만화,드라마/성장,핑크복어 (지은이),2687,"평범한 청인이 수어를 하나의 언어로서 배워 나가며 겪는 재미와 어려움, 좌절감과 성취감에 대해 솔직하고 유쾌하게 그린 그림일기이다. 주인공은 수어를 배우는 과정에서 농인 교사들, 청인 수강생들과 교류하면서 자연스럽게 ‘장애’에 대한 주변의 인식과 태도에 주목하고 자기 안의 편견들을 깨달아 간다.",돌베개,2020-01-03,https://image.aladin.co.kr/product/21858/1/coversum/s752636624_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=218580158,총 1권 포함 (대표작: 수화 배우는 만화),빈티지하고 고전적인 화풍,vintage and retro style
극락왕생,공포/호러,고사리박사 (지은이),2669,"인간도를 헤매는 귀신들과의 공생을 추구하는 자언은 그들 사이에서 ‘윈윈(win-win) 인간’으로 소문이 난다. 귀신들에게 도움을, 또 그들의 도움을 받으며 극락왕생으로의 길을 걸어가는 자언과 도명. 하지만 가까운 친구들과의 관계는 자언이 기억하는 바와 조금 다르다.",문학동네,2021-08-26,https://image.aladin.co.kr/product/27121/95/coversum/8954679307_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=271219556,총 2권 포함 (대표작: 극락왕생 3),역동적인 액션,dynamic and colorful action
유미의 세포들,"드라마/성장, 로맨스",이동건 (지은이),2625,네이버 인기 웹툰 '유미의 세포들' 그 대장정의 완결판. 그 인기에 힘입어 드라마 제작 또한 진행 중인 '유미의 세포들'은 삼십 대 초반 여성 직장인 유미의 연애와 일상을 그녀의 세포들을 통해 세밀하고 담백하게 표현해낸 작품이다.,위즈덤하우스,2026-04-16,https://image.aladin.co.kr/product/27170/16/coversum/k192731645_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=271701649,총 4권 포함 (대표작: 유미의 세포들 10~13 세트 - 전4권 - 완결),빈티지하고 고전적인 화풍,vintage and retro style
지영,코미디/힐링,지영 (지은이),2607,"'지영' 만화의 현존 에피소드를 모두 모아 실은 만화집이다. 작가가 포스타입에서 직접 연재하며 알려지게 된 '지영'은 성 판매 여성 지영의 일상 만화로, '성매매'라는 소재를 대하던 기존의 문법에서 벗어난 독자적인 작품 세계로 많은 독자들에게 열렬한 지지와 호평을 받았다.",주로출판사,2023-04-07,https://image.aladin.co.kr/product/31630/30/coversum/k062833877_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=316303058,총 1권 포함 (대표작: 지영 - 2nd Edition),밝고 화사한 로맨스,bright and pastel romance
4주 애인,드라마/성장,마로론 (지은이),2543,"재희와 도준의 관계를 알게 된 성욱! 성욱은 재희에게 소개팅을 약속받은 뒤, 다음 날 아침 친구들을 데리고 먼저 돌아가 주기로 한다. 덕분에 재희와 도준은 둘만의 알콩달콩한 시간을 보내며 여행을 이어갔고, 모든 게 순조롭게 마무리되는 듯했지만 예상치 못한 오해가 기다리고 있었는데...",영컴(YOUNG COM),2026-03-16,https://image.aladin.co.kr/product/35705/20/coversum/k322036024_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=357052013,총 6권 포함 (대표작: 4주 애인 4),밝고 화사한 로맨스,bright and pastel romance
위험한 편의점 시즌1 스페셜,"로맨스, 스릴러/범죄",945 (지은이),2520,"낮에는 대학생, 밤에는 편의점 아르바이트생 생활을 하며 생활고를 꿋꿋이 견뎌 내는 햇살 같은 여의준과, 큰 목표를 앞두고 똬리를 틀고 있는 미스터리한 조직 세계 종사자 범건우의 좌충우돌 운명적 로맨스가 펼쳐진다.",blackD(블랙디),2022-11-23,https://image.aladin.co.kr/product/30466/13/coversum/k202830184_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=304661390,"총 1권 포함 (대표작: 위험한 편의점 시즌1 스페셜 패키지 - 전2권 - 1~2권 + 사인 인쇄본 (1권에만 포함, 초판 한정) + 일러스트 엽서 2종 + 투명 북마커 + 여의준 아크릴 스탠드 + 건우의 편의점 영수증 + 띠부띠부씰 6종)",빈티지하고 고전적인 화풍,vintage and retro style
이기적 연애론,로맨스,교교박 (지은이),2520,"한국을 넘어 전세계의 독자들을 가슴 설레게 만들며 잠든 연애세포를 흔들어 깨우는 작품 『이기적 연애론』은 각자의 연인이 돌아오길 바라며 시작한 두 달간의 가짜 데이트라는 설렘 보장 소재에, 주인공들의 섬세한 감정 묘사가 더해져 한번 읽기 시작하면 멈출 수 없는 로맨스 작품이다.",다산코믹스,2026-05-13,https://image.aladin.co.kr/product/39299/78/coversum/k352138719_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=392997834,총 1권 포함 (대표작: 이기적 연애론 1),밝고 화사한 로맨스,bright and pastel romance
