title,genres,overview,keywords,director,cast,runtime,popularity,vote_average,vote_count,release_date,poster_url,movie_id
이터널스,"액션, SF/미래","이터널스는 7천년 전 우주선 도모를 타고 지구에 온 순간부터 지구를 사랑한 히어로들이다. 이들의 임무는 기괴한 크리처 데비안츠에게서 인간을 지키는 것. 임무를 부여한 이는 그들을 탄생시킨 천상의 존재 셀레스티얼이다. 이터널스는 시간의 흐름을 느낄 수 없기에, 공간을 기준 삼아 연대기를 구성하는 뱀파이어처럼 세계 곳곳에 흩어져 자신만의 삶을 살아가고 있다. 물질을 변화시키는 세르시는 런던에서 박물관 학자가 됐고, 우주의 기운을 총처럼 쏘는 킹고는 발리우드 배우로 살며, 타인을 조종하는 드루이그는 아마존에 소국을 만들었다. 괴력의 소유자 길가메시는 호주 사막에서 정신 건강이 위험해진 테나를 돌보며 살고 있다. 세르시는 데비안츠의 공세가 심해지자 오랜 연인 이카리스, 소녀처럼 보이는 불멸의 존재 스프라이트와 함께 이터널스를 불러모으기 시작한다.","saving the world, superhero, supernatural, based on comic, alien",클로이 자오,"젬마 찬, 리차드 매든, 안젤리나 졸리",156,11.0516,6.8,9114,2021-11-03,https://image.tmdb.org/t/p/w500/aNtAP8ZzUMdnCPoqYgVOcgI0Eh4.jpg,524434
러블리 마드리드,드라마/성장,"저명한 저널리스트 미구엘은 아름답고 수줍음 많은 언론학도 안젤라를 만나 집에서 인터뷰를 하던 중 사고로 욕실 문이 고장나 둘은 욕실에 갇히게 된다.  그렇게 시작된 두 사람의 치열한 설전.  둘은 여러 가지 주제를 놓고 현학적 토론을 벌이며 상대방을 조금씩 알아가고 가까워진다.  매우 좁고 한정된 공간 안에서 펼치는 문학과 언론, 삶, 욕망과 영감 등 사적이면서 특별한 대화가 펼쳐지는데...","journalist, madrid, spain, older man younger woman relationship, 1980s, age-gap relationship",David Trueba,"José Sacristán, 마리아 발베르데, Ramon Fontserè",104,11.0369,6.5,71,2012-04-13,https://image.tmdb.org/t/p/w500/9rQDTG1bRUUeyWheR47acgqOqXE.jpg,84308
엑스맨: 아포칼립스,"판타지, 액션","고대 이집트에서 신으로 숭배받았던 최초의 돌연변이 아포칼립스가 오랜 잠에서 깨어난다. 초능력을 흡수해가며 수천년을 살아온 아포칼립스는 스톰, 사일록, 아크엔젤 그리고 매그니토에게 자신의 힘을 나누어준 뒤, 그들과 함께 현재의 세상을 뒤엎고 새로운 세상을 건설하려 한다. 찰스 자비에와 미스틱은 아포칼립스의 지구 종말 계획을 알아채고, 진 그레이, 사이클롭스, 퀵 실버, 나이트크롤러 등 젊은 돌연변이들과 함께 아포칼립스에 대항한다.","egypt, hero, superhero, mutant, based on comic",브라이언 싱어,"제임스 맥어보이, 마이클 패스벤더, 제니퍼 로렌스",145,11.0301,6.524,13760,2016-05-18,https://image.tmdb.org/t/p/w500/4MaTkqk4LKccDYKh7AjV220CVgW.jpg,246655
베스트 키드,"액션, 코미디/힐링",베이징으로 이민 와 친구들의 괴롭힘에 시달리는 외톨이 미국 소년 ‘드레(제이든 스미스)’ 앞에 아파트 관리인인 ‘Mr.한(성룡)’이 나타나 놀라운 쿵푸 기술로 그를 위험으로부터 구해준다. 맞서기 위해서는 강해질 수 밖에 없다는 그의 충고에 따라 ‘드레’는 정식으로 쿵푸를 배우기로 한다.  무술의 기본기라고는 어설픈 가라데 동작 밖에 없는 ‘드레’는 ‘Mr.한’의 가르침에 따라 혹독한 쿵푸 수련의 길로 들어서는데!,"martial arts, reboot, aftercreditsstinger, duringcreditsstinger, karate kid",Harald Zwart,"제이든 스미스, 성룡, 타라지 P. 헨슨",140,11.0288,6.566,6544,2010-06-10,https://image.tmdb.org/t/p/w500/dIZRhQAvqI4r2YfKRxvi9Pp3GEV.jpg,38575
이티,"액션, SF/미래","지구조사를 위해 우주선을 타고 지구에 온 외계인 이티는 식물 채집에 열중하다가 우주선에서 낙오되어 혼자 지구에 남게된다. 지구인들에게 쫓기던 이티는 엘리엇을 만나 그의 집에 숨는다. 엘리엇은 형 마이클, 여동생 거티와 함께 이티를 보살펴주지만 이티는 알 수 없는 병에 걸려 점점 약해져간다. 한편 이티를 추적하던 당국은 이티가 있는 곳을 알아내어 이티를 치료하며 실험용으로 관찰한다. 그러나 병이 회복되지 않아 모두 포기해버린 때에 외계인의 우주선이 보낸 전파로 인해 이티가 다시 소생하고, 엘리엇은 이티를 데리러 오는 우주선의 착륙장소에 이티를 데리고 가는데...","farewell, space marine, operation, flying saucer, nasa",스티븐 스필버그,"헨리 토마스, 드류 배리모어, 로버트 맥노턴",115,11.0285,7.5,11981,1982-06-11,https://image.tmdb.org/t/p/w500/9Kl6z0J1Hu3cFOFXNBrqqVWoNmI.jpg,601
투게더,"로맨스, 공포/호러",관계의 한계에 부딪힌 오래된 커플 팀과 밀리. 어느 날 서로의 몸이 점점 붙어버리기 시작하는데…,"countryside, musician, cave, cult, woods",Michael Shanks,"데이브 프랭코, 앨리슨 브리, 데이먼 헤리먼",102,11.0241,6.924,1123,2025-07-28,https://image.tmdb.org/t/p/w500/ivWOD2MiC1HywIPBF2Ei2CN3ywY.jpg,1242011
특별한 사위,"코미디/힐링, 드라마/성장",호세 산체스는 산전수전 뒤에 정계에서 영향력을 떨치는 악명 높은 실세로 자리잡는다. 하지만 이번엔 그의 인상적인 콧수염도 거침 없는 말발도 먹히지 않을 것 같은데.,"politics, tragicomedy, méxico",Gerardo Naranjo,"Adrián Vázquez, Jero Medina, David Gaitán",102,11.0168,5.667,9,2026-04-18,https://image.tmdb.org/t/p/w500/gVkNgA7K5dnv26X6PFK8TkY2kFD.jpg,1651233
그랜드 부다페스트 호텔,"코미디/힐링, 드라마/성장","1927년 세계대전이 한창이던 어느 날, 세계 최고 부호 마담 D가 그랜드 부다페스트 호텔에 다녀간 지 얼마 지나지 않아 의문의 살인을 당한다. 그녀는 유언을 통해 가문 대대로 내려오던 명화 사과를 든 소년을 전설적인 호텔 지배인이자 연인 구스타브 앞으로 남긴다.  마담 D의 유산을 노리고 있던 그의 아들 드미트리는 구스타브를 졸지에 유력한 용의자로 지목하게 되고, 구스타브는 충실한 호텔 로비보이 제로와 함께 누명을 벗기기 위한 기상천외한 모험을 시작한다.","hotel, painting, wartime, eastern europe, author",웨스 앤더슨,"랄프 파인즈, F. 머레이 에이브러햄, 마티유 아말릭",100,11.0086,8.028,16066,2014-02-26,https://image.tmdb.org/t/p/w500/vsibrPwiJlZHhlrX5f4xFptX3q4.jpg,120467
더 커버넌트,"액션, 스릴러/범죄","끝이 보이지 않았던 전쟁의 한가운데 미 육군 소속 상사 ‘존 킨리’(제이크 질렌할)는 습격을 당한다. 목숨을 잃을 절체절명의 순간, 그는 현지 통역사 ‘아메드’(다 살림)의 도움으로 생환에 성공하고 ‘아메드’와 그의 가족들이 미국에서 살 수 있도록 최선을 다 하겠다고 약속한다  생환 이후의 어느 날, ‘존 킨리’는 자신을 도와주었던 ‘아메드’가 미국에 오지 못했으며 적들에게 억류되어 있다는 사실을 알게 된다.","ambush, interpreter, afghanistan, rescue mission, afghanistan war (2001-2021)",가이 리치,"제이크 질렌할, Dar Salim, Sean Sagar",123,10.9969,7.72,3164,2023-04-19,https://image.tmdb.org/t/p/w500/11EHXs37YRZPyIyJjlUB2FAnbys.jpg,882569
베스트 키드: 레전드,"액션, 드라마/성장",엄마와 뉴욕으로 건너간 10대 소년 리퐁이 무술 대결을 위해 쿵후와 가라테의 전설들과 함께 훈련을 하면서 벌어지는 이야기를 다룬 극영화,"new york city, martial arts, kung fu, mentor, ex-boyfriend",Jonathan Entwistle,"성룡, 벤 왕, 조슈아 잭슨",95,10.9948,6.996,1187,2025-05-08,https://image.tmdb.org/t/p/w500/c90Lt7OQGsOmhv6x4JoFdoHzw5l.jpg,1011477
빌로우 허,"로맨스, 드라마/성장","누구나 한번 보면 빠져들 수밖에 없는 매력을 지녔지만 사랑을 믿지 않기에 늘 상처받는 그녀, 달라스. 패션 에디터로 성공한 커리어우먼의 삶을 살고 있지만 단조로운 일상에 지친 그녀, 재스민. 어느 날 우연히 한 파티에서 달라스를 만난 재스민은  그녀만을 바라보는 달라스의 강렬한 눈빛에 흔들리기 시작한다. 자신도 모르게 서로에게 운명처럼 이끌린 두 사람은  남들 시선은 신경 쓰지 않고 뜨겁게 사랑하지만 피할 수 없는 현실의 장벽에 가로막히고 마는데…","sexual identity, infidelity, female friendship, love, lesbian relationship",April Mullen,"Erika Linder, Natalie Krill, Sebastian Pigott",91,10.989,6.79,1286,2017-02-10,https://image.tmdb.org/t/p/w500/5twlT43Kt18MoUCqYgfMqppVXfa.jpg,370663
연인,"로맨스, 드라마/성장","가난한 10대 프랑스 소녀, 부유한 남자를 허락하고 처음으로 육체적 쾌락을 경험하게 된다.  불우한 가정 환경과 자신에 대한 혐오가 더해 갈수록 소녀는 욕망에 빠져들고 격정적인 관능에 몰입한다.  욕정일 뿐 사랑이 아니라고 부정하지만 평생 잊을 수 없는 운명으로 남게 되는데….","lolita, virgin, vietnam, based on novel or book, age difference",장자크 아르노,"제인 마치, 양가휘, Frédérique Meininger",115,10.9756,6.992,756,1992-01-22,https://image.tmdb.org/t/p/w500/9YgWVUCb8SEFhFxniBHbJGSx7Gf.jpg,10995
몬스터 호텔,"판타지, 코미디/힐링","몬스터들의 유일한 천국, 인간출입금지 몬스터 호텔.  딸바보 드라큐라는 딸 마비스의 118번째 생일을 맞아  프랑켄슈타인, 늑대인간, 미이라, 투명인간 등 몬스터 친구들을 모두 초대한다.  그.런.데! 초대받지 않은 인간소년 조니가 나타나고, 몬스터들은 멘붕 상태에 빠진다.  과연, 몬스터들은 신나는 파티를 즐길 수 있을까?","hotel, witch, vampire, romance, love",Genndy Tartakovsky,"애덤 샌들러, 앤디 샘버그, 셀레나 고메즈",91,10.9699,6.964,9164,2012-09-20,https://image.tmdb.org/t/p/w500/nZapoab0MzOY11IcNEMIYJDoljF.jpg,76492
위대한 레보스키,"스릴러/범죄, 코미디/힐링","삶의 목표도, 별다른 직업도 없는 제프리 레보스키는 볼링장에서 시간이나 죽이며 칵테일을 늘 손에 들고 다닌다. 어느 날 이웃에 살고 있는 백만장자인 제프리 레보스키와 그를 혼동한 강도들이 그의 집에 침입한다. 강도 사건 후 얼마 지나지 않아 백만장자 레보스키의 젊은 아내가 납치당해 돈을 요구당하자, 이 돈의 전달자로 건달 제프리 레보스키가 뽑힌다. 그는 친구와 함께 백만 달러가 든 돈가방을 전달하지 않고 가로채지만, 불법 주차단속에 걸려 돈가방이 든 차가 견인된다. 그 와중에 백만장자 레보스키의 딸 마우드 버니는 납치된 것이 아니라 스스로 잠적한 것임을 밝히며, 돈가방을 자신에게 갖다줄 것을 요구하는데...","vietnam veteran, white russian, bowling, carpet, nihilism",조엘 코엔,"제프 브리지스, 존 굿맨, 줄리앤 무어",117,10.9566,7.8,12155,1998-03-06,https://image.tmdb.org/t/p/w500/hotrLt8Hyuj2V7xX9EyS4PVqmZO.jpg,115
그대들은 어떻게 살 것인가,"판타지, 드라마/성장","화재로 어머니를 잃은 11살 소년 ‘마히토’는 아버지와 함께 어머니의 고향으로 간다. 어머니에 대한 그리움과 새로운 보금자리에 적응하느라 힘들어하던 ‘마히토’ 앞에 정체를 알 수 없는 왜가리 한 마리가 나타나고, 저택에서 일하는 일곱 할멈으로부터 왜가리가 살고 있는 탑에 대한 신비로운 이야기를 듣게 된다. 그러던 어느 날, ‘마히토’는 사라져버린 새엄마 ‘나츠코’를 찾기 위해 탑으로 들어가고, 왜가리가 안내하는 대로 이세계(異世界)의 문을 통과하는데…!","loss of loved one, world war ii, supernatural, education, coming of age",미야자키 하야오,"산토키 소마, 스다 마사키, 시바사키 코우",124,10.9565,7.4,2627,2023-07-14,https://image.tmdb.org/t/p/w500/bzEpxah8vLNzPDrvswwgJ9rZQGX.jpg,508883
신비한 동물사전,"판타지, 액션","1926년 뉴욕, 검은 존재가 거리를 쑥대밭으로 만들고 미국의 마법의회 MACUSA의 대통령과 어둠의 마법사를 체포하는 오러의 수장 그레이브스가 이를 추적하는 혼돈 속에 영국의 마법사 뉴트 스캐맨더가 이 곳을 찾는다. 그의 목적은 세계 곳곳에 숨어있는 신비한 동물들을 찾기 위한 것. 여행을 하면서 다양한 크기의 신비한 동물을 구조해 안에 마법의 공간이 있는 가방에 넣어 다니며 보살핀다. 하지만 은행을 지나던 중 금은보화를 좋아하는 신비한 동물인 니플러가 가방 안에서 탈출을 하고 이 일로 전직 오러였던 티나와 노마지 제이콥과 엮이게 된다. 한편 검은 존재의 횡포는 더욱 거세져 결국 인간 사회와 마법 사회를 발칵 뒤집는 사건이 발생하고, 이 모든 것이 뉴트의 소행이라는 오해를 받게 되는데...","witch, new york city, robbery, escape, teleportation",데이빗 예이츠,"에디 레드메인, 캐서린 워터스톤, Dan Fogler",132,10.952,7.308,19677,2016-11-16,https://image.tmdb.org/t/p/w500/1HHH1YR2UL5JLkrsbO6gfcg0gna.jpg,259316
언틸 던: 무한루프 데스게임,"스릴러/범죄, 공포/호러","1년 전, 여동생 멜라니가 흔적도 없이 사라진 후, 클로버는 친구들과 함께 그녀의 마지막 행적이었던 외딴 계곡을 찾아 나선다. 버려진 방문자 센터에서 하룻밤을 보내기로 한 그들은, 정체불명의 가면을 쓴 살인마에게 차례로 희생당한다. 그러나 죽음은 끝이 아니었다. 그들은 다시 그날 저녁으로 돌아오고, 매번 새로운 공포가 그들을 기다리고 있다. 죽음이 반복될수록 희망은 사라지고, 그들은 이 악몽에서 벗어나기 위해 반드시 새벽까지 살아남아야만 하는데...","witch, haunting, abandoned house, survival, memory loss",다비드 F. 산드베리,"엘라 루빈, 마이클 시미노, 벨몬트 카멜리",103,10.9442,6.276,1395,2025-04-23,https://image.tmdb.org/t/p/w500/vxg728iguFU0lgV4kw1T12n50xc.jpg,1232546
미미일소흔경성,"로맨스, 코미디/힐링","학교 킹카이자 게임고수인 초내는 패미미에게 첫눈에 반하게 된다, 아름다운 모습뿐만 아니라 키보드 위를 날아다니는 섬섬옥수와 차분하고 침착한 그녀의 분위기에도. 그처럼 게임고수인 패미미는 컴퓨터 앞에서 질서정연하게 전투를 지휘하고, 완벽하고 휘항찬란한 전술들을 펼치면서도 자신의 곁에 이미 찾아와 있는 사랑은 알아채지 못한다. 이후 농구, 수영등 만능 우등생이자 게임회사 대표이기도 한 초내는 인터넷에서도, 또 현실에서도 그녀의 마음을 사로잡기 시작한다.",esports,赵天宇,"안젤라베이비, 정백연, 白宇",105,10.9351,6.7,60,2016-08-12,https://image.tmdb.org/t/p/w500/6UhyOwfE7BR6VkEE2yKnK56ny7N.jpg,412190
킹스맨: 시크릿 에이전트,"액션, 스릴러/범죄","높은 IQ, 주니어 체조대회 2년 연속 우승! 그러나 학교 중퇴, 해병대 중도 하차. 동네 패싸움에 직장은 가져본 적도 없이 별볼일 없는 루저로 낙인 찍혔던 그가 젠틀맨 스파이로 전격 스카우트 됐다! 전설적 베테랑 요원 해리 하트는 경찰서에 구치된 에그시를 구제한다. 탁월한 잠재력을 알아본 그는 에그시를 전설적 국제 비밀정보기구 킹스맨 면접에 참여시킨다. 아버지 또한 킹스맨의 촉망 받는 요원이었으나 해리 하트를 살리기 위해 죽었다는 사실을 알게 된 에그시. 목숨을 앗아갈 만큼 위험천만한 훈련을 통과해야 하는 킹스맨 후보들. 최종 멤버 발탁을 눈 앞에 둔 에그시는 최고의 악당 발렌타인을 마주하게 되는데…","great britain, spy, secret organization, microchip, secret agent",매튜 본,"태런 에저턴, 콜린 퍼스, 사무엘 L. 잭슨",129,10.9347,7.62,17795,2015-01-24,https://image.tmdb.org/t/p/w500/pVwvZAgnsuMcDGbeWVtXOpks1oQ.jpg,207703
굿 보이,"스릴러/범죄, 드라마/성장","성격이 급한 19세 청년 토미는 마약, 파티, 폭력에 빠져 산다. 술에 취해 친구들과 헤어진 그는 정체불명의 인물에게 납치된다. 깨어난 토미는 외딴 요크셔의 한 집 지하실에 갇혀 있고, 그곳에는 아주 이상한 가족이 살고 있다. 하지만 그에게 닥쳐오는 일들은 상상조차 할 수 없는 일들이다.","kidnapping, paranoid, family life, toxic relationship, toxic family",얀 코마사,"스티븐 그레이엄, 안드레아 라이즈보로, 앤슨 분",110,10.9282,7.309,89,2026-03-06,https://image.tmdb.org/t/p/w500/x0wD4Qxe0wulV0bxarsQ05PqDNF.jpg,1381027
저스티스 리그,"액션, SF/미래","인류의 수호자인 슈퍼맨이 사라진 틈을 노리고 ‘마더박스’를 차지하기 위해 빌런 스테픈울프가 악마군단을 이끌고 지구에 온다. 마더박스는 시간과 공간, 에너지, 중력을 통제하는 범우주적인 능력으로 행성의 파괴마저도 초래하는 물체로 이 강력한 힘을 통제하기 위해 고대부터 총 3개로 분리되어 보관되고 있던 것. 인류에 대한 믿음을 되찾고 슈퍼맨의 희생 정신에 마음이 움직인 브루스 웨인은 새로운 동료인 다이애나 프린스에게 도움을 청해 이 거대한 적에 맞서기로 한다. 배트맨과 원더 우먼은 새로이 등장한 위협에 맞서기 위해 아쿠아맨, 사이보그, 플래시를 찾아 신속히 팀을 꾸린다. 이들 슈퍼히어로 완전체는 스테픈울프로부터 마더박스를 지키기 위해 지구의 운명을 건 전투를 벌인다!","superhero, based on comic, super power, superhero team, aftercreditsstinger",잭 스나이더,"벤 애플렉, 헨리 카빌, 에이미 아담스",120,10.8982,6.074,13657,2017-11-15,https://image.tmdb.org/t/p/w500/m4Zlx3sE8BNenwgWMRC995pQYub.jpg,141052
영웅,"무협/사극, 액션","피와 살육의 춘추전국시대, 난세의 소용돌이 속 영웅들이 움직인다! 전국 7웅이라 불렸던 막강한 일곱 국가들이 지배하던 춘추전국시대의 중국 대륙. 각각의 왕국은 천하통일의 대업을 이루기 위해 무자비한 전쟁을 일삼고, 그 중 가장 강력한 군대를 갖고 있는 진나라 왕 영정(진도명)은 대륙 전체를 지배하여 첫 번째 황제가 되려는 야심에 가득 차 있다. 그러나 영정에게도 두려운 존재가 있었으니, 전설적인 무예를 보유하고 호시탐탐 자신의 목을 노리는 세 명의 자객 은모장천(견자단)과 파검(양조위) 그리고 비설(장만옥)이 바로 그들이다. 이에 영정은 자신의 백보 안에 그 누구도 가까이 하지 못하게 하는 백보 금지령을 내리고 현상금을 내걸어 그들을 사냥하기에 이른다. 어느 날, 지방에서 백부장으로 녹을 받고 있는 미천한 장수 무명(이연걸)이 정체 모를 세 개의 칠기상자를 가지고 영정을 찾아와 왕궁이 술렁이기 시작하는데…","martial arts, kung fu, right and justice, countryside, loss of loved one",장이머우,"이연걸, 양조위, 장만옥",99,10.8928,7.511,2489,2002-12-19,https://image.tmdb.org/t/p/w500/ey7vPDysRjfzvNUkbLBHv2UMQYP.jpg,79
헝거게임: 모킹제이,"액션, 스릴러/범죄","헝거게임이 끝나고 캣니스의 고향인 12구역이 캐피톨의 폭격으로 파괴되자 그녀는 절망감으로 괴로워한다. 12구역의 생존자들이 13구역에 있다는 것을 알게 된 캣니스는 반정부 세력의 중심이 된다. 어떤 공격도, 어떤 감시도 피할 수 있는 전설의 13구역을 다스리는 대통령 코인은 캣니스에게 혁명의 불꽃이자 반군의 상징인 모킹제이가 되어달라고 부탁하고, 모두의 희망이 된 캣니스는 이제 세상을 구할 반격을 시작한다.","based on novel or book, resistance, dystopia, post-apocalyptic future, sequel",프랜시스 로렌스,"제니퍼 로렌스, 조쉬 허처슨, 리암 헴스워스",123,10.8921,6.818,16715,2014-11-19,https://image.tmdb.org/t/p/w500/r5UG5tSXpHIFFcpx4rvi6ZnJroj.jpg,131631
더 몽키,"공포/호러, 코미디/힐링","""공포의 근원, 악을 품은 인형의 저주"" 쌍둥이 형제 빌과 테드는 할아버지의 유품 정리 중 오래된 원숭이 장난감을 발견한다. 심벌즈를 치는 이 원숭이 인형은 어린 시절 그들에게 공포의 대상이었지만, 이제 어른이 된 두 형제는 그것을 단순한 장난감으로 치부한다. 하지만 인형이 다시 집에 들어오자 기이한 사건들이 연이어 발생하기 시작한다. 어린 시절의 트라우마가 되살아나고, 원숭이 인형을 둘러싼 끔찍한 비밀이 드러나며 형제의 삶은 걷잡을 수 없는 혼돈 속으로 빠져드는데...","sibling relationship, shotgun, supernatural, drums, harpoon",오즈 퍼킨스,"테오 제임스, 타티아나 마슬라니, 크리스천 콘버리",97,10.8861,6.021,1301,2025-02-14,https://image.tmdb.org/t/p/w500/yYa8Onk9ow7ukcnfp2QWVvjWYel.jpg,1124620
미스터 & 미세스 스미스,"액션, 스릴러/범죄","5~6년 전, 콜롬비아 보고타에서 우연히 만난 존(브래드 피트)과 제인(안젤리나 졸리). 살인사건으로 검문당하던 제인은 존의 도움으로 무사히 빠져나가고 둘은 첫눈에 반해 사랑에 빠진다. 완벽한 외모와 성품을 가진 최고의 배우자를 만났다고 기뻐하는 두 사람. 그러나, 그것은 사상 최악의 잘못된 만남이었으니…바로 두 사람은 경쟁조직에 속한 일급킬러들이었던 것이다. 하지만 두 사람은 서로의 정체를 전혀 눈치채지도 못한 채 결혼에 골인한다. 그리고 5~6년 후… 겉보기엔 평온한 부부생활을 즐기는 존과 제인 부부. 매일 저녁 7시엔 꼭 함께 저녁식사를 하고, 정원을 가꾸고, 아침이 되면 나란히 차를 타고 출근한다. 하지만 그들이 회사에서 보내는 하루일과는 암살로 시작해 암살로 끝난다. 때로 야근에 특근도 있고 출장도 잦다. 이처럼 평범치 않은 신분의 존과 제인에게 아주 평범한(?) 위기가 닥친다. 바로 권태기에 빠지게 된 것. 처음 만났을때의 설레임은 도무지 찾아볼수가 없고 섹스도 거의 없는 이 부부는 이 심각한 상황을 벗어나기 위해 상담도 해보지만 별 소용이 없다. 그러던 중 조직으로부터 임무를 부여 받은 두 사람은 암살현장에서 예기치 않은 방해꾼을 발견한다. 그리고 상대를 제거하기 위해 총구를 겨눈 순간, 상대 킬러가 바로 자신의 배우자임을 알게 된다. 이 충격적인 사실로 혼돈스러운 것도 잠시, 임무실패에 대한 책임으로 두 사람은 각각 조직으로부터 48시간 내에 상대 킬러를 죽이라는 명령을 받는다. 이제 어제의 부부가 오늘 적이 되어 수단과 방법을 가리지 않고 서로를 죽이기 위해 쫓고 쫓기는 게임을 시작하는데…","assassin, bomb, hitman, marriage crisis, gun",더그 라이만,"브래드 피트, 안젤리나 졸리, 빈스 본",120,10.8761,6.693,11203,2005-06-07,https://image.tmdb.org/t/p/w500/eILgGFATmfuYAagXdW8zPm6WzCe.jpg,787
덩케르크,"액션, 드라마/성장","제2차 세계대전 당시인 1940년, 프랑스 덩케르크 지역에서 진행된 연합군 구출 작전. 영화는 세개의 시공간을 동시에 진행시킨다. 도버 해협을 건너려는 영국군을 중심으로 한 잔교에서의 일주일, 민간 선박들의 자발적 참전과 차출이 이어지는 바다에서의 하루, 적기를 겨냥한 스피트파이어기 전투사가 있는 하늘에서의 한 시간. 전쟁의 전방위성, 공포의 상시성과 그 압도, 개별 공간을 떠난 공포의 유사성, 그 속의 다급함이 혼재되어 있는 가운데 전쟁과 죽음에의 공포와 생존을 향한 인간적 열망을 그린다.","army, beach, france, allies, raf (royal air force)",크리스토퍼 놀란,"핀 화이트헤드, 톰 하디, 마크 라이런스",107,10.8687,7.5,17544,2017-07-19,https://image.tmdb.org/t/p/w500/nLQpUxLulXpIvN7FwREWjRNRBRI.jpg,374720
포드 V 페라리,"무협/사극, 액션","1960년대, 매출 감소에 빠진 포드는 판매 활로를 찾기 위해 페라리와의 인수 합병을 추진한다. 막대한 자금력에도 불구, 계약에 실패하고 엔초 페라리로부터 모욕까지 당한 헨리 포드 2세는 르망 24시간 레이스에서 페라리를 박살 낼 차를 만들 것을 지시한다. 지옥의 레이스로 불리는 르망 24시간 레이스. 출전 경험조차 없는 포드는 대회 6연패를 차지한 페라리에 대항하기 위해 르망 우승자 출신 자동차 디자이너 캐롤 셸비를 고용하고, 그는 누구와도 타협하지 않지만 열정과 실력만큼은 최고인 레이서 켄 마일스를 자신의 파트너로 영입하는데...","based on novel or book, car race, sports, car mechanic, biography",제임스 맨골드,"맷 데이먼, 크리스찬 베일, 존 번설",153,10.868,8.006,8955,2019-11-13,https://image.tmdb.org/t/p/w500/wBUoWL4z0nsvC9cYT3VCc74X3jE.jpg,359724
소셜 네트워크,드라마/성장,"2003년 가을, 하버드대의 컴퓨터 천재 마크는 비밀 엘리트 클럽의 윈클보스 형제에게 하버드 선남선녀들만 교류할 수 있는 하버드 커넥션 사이트 제작을 의뢰 받는다. 하지만 여기서 획기적인 아이디어를 생각해낸 마크는 인맥 교류 사이트 페이스북을 개발, 절친 왈도의 도움으로 사이트를 오픈한다. 페이스북은 순식간에 모두의 마음을 사로잡고, 유명한 냅스터의 창시자 숀의 참여로 전세계로 번지면서 마크는 기업가치 58조원, 전세계 최연소 억만장자가 된다. 하지만 그 순간 윈클보스 형제는 물론 왈도마저 전대미문의 소송을 제기하는데...","hacker, based on novel or book, boston, massachusetts, ex-girlfriend, harvard university",데이비드 핀처,"제시 아이젠버그, 앤드류 가필드, 아미 해머",121,10.8668,7.4,13141,2010-10-01,https://image.tmdb.org/t/p/w500/4WAq2IZuVvWl0Wd1YIgBXdYgXna.jpg,37799
끝이 없는 스칼렛,"액션, SF/미래","왕녀 스칼렛은 아버지를 죽인 숙부 클로디어스에게 복수를 하려다 죽임을 당하고 삶과 죽음이 뒤섞인 미지의 세계, 죽은 자들의 나라에서 깨어난다. 시간과 공간을 넘나드는 이곳에서 스칼렛은 영원한 죽음을 피하고 끝없는 복수의 여정을 시작한다.","princess, time travel, revenge, anime",호소다 마모루,"아시다 마나, 오카다 마사키, 마츠시게 유타카",111,10.861,7.4,94,2025-11-21,https://image.tmdb.org/t/p/w500/nICE9EuyD5j9kmFHGxUJpqHOG2.jpg,1406657
슈렉 포에버,"판타지, 액션","슈렉이 아름다운 공주 피오나와 겁나먼 왕국을 구해낸 이후. 그들도 오래오래 행복하게 살았...더라면 참 좋았을텐데! 과연 슈렉에게도 모두가 바라던 해피엔딩이 올까?  한 가정의 평범한 아빠와 남편으로 반복되는 일상에 따분함을 느끼던 슈렉은 마을 사람들에게 겁을 주고, 진흙 목욕도 실컷 하던 시절의 자유를 꿈꾸게 된다. ‘단 하루라도 자유로워진다면 죽어도 한이 없겠어’라며 일탈을 꿈꾸던 슈렉은 ‘겁나먼 왕국’을 차지하려는 악당 럼펠의 그럴싸한 계략에 속아 넘어가 ‘완전 딴판 겁나먼 세상’에 떨어지고 만다. 완전 딴판으로 바뀌어버린 세상에서 절친 동키는 슈렉을 미친 괴물 취급하며 줄행랑 치고, 단 하나의 사랑 피오나는 하이킥을 날리고, 장화신은 고양이는 더 이상 장화를 신지 않는 D라인의 고양이가 되어 있다. 친구들과 왕국, 그리고 하나뿐인 진실한 사랑을 되찾기 위한 슈렉의 마지막 이야기가 시작된다!","witch, villain, sequel, aftercreditsstinger, ogre",Mike Mitchell,"마이크 마이어스, 에디 머피, 카메론 디아즈",93,10.8389,6.396,7934,2010-05-20,https://image.tmdb.org/t/p/w500/t3FNCqPBgRK9jYTzLGWptIdpD3O.jpg,10192
