track_id,title,artist,genres,spotify_link,thumbnail_url
7zN8mMUsLsDEKoXnbR0pqR,Encourage,sogumm,코미디/힐링,https://open.spotify.com/track/7zN8mMUsLsDEKoXnbR0pqR,https://i.scdn.co/image/ab67616d0000b27375d257c085db6c9fe404947d
3OEHAtVOEcKfV1VYTwg8sb,Rainbow (feat. YDG),Bassagong,코미디/힐링,https://open.spotify.com/track/3OEHAtVOEcKfV1VYTwg8sb,https://i.scdn.co/image/ab67616d0000b27300149d7746567aea70fc9c41
1fwvvVGzMkX7rZ2Et8XDio,Save me,Jaebin,코미디/힐링,https://open.spotify.com/track/1fwvvVGzMkX7rZ2Et8XDio,https://i.scdn.co/image/ab67616d0000b273521550712b23a1825989a540
4hkDyusu19lQz3ZfsAGm4W,위로 (죄짐 맡은 우리 구주) What a Friend We Have in Jesus [feat. 조찬미 Cho Chan Mi],홀리원 Holyone,코미디/힐링,https://open.spotify.com/track/4hkDyusu19lQz3ZfsAGm4W,https://i.scdn.co/image/ab67616d0000b2739f48483f927b929b15203d88
3sDQoXNddpSElV7mdwEY0R,위로해 주세요,원미연,코미디/힐링,https://open.spotify.com/track/3sDQoXNddpSElV7mdwEY0R,https://i.scdn.co/image/ab67616d0000b273cf8bdd8b0ff3aed8e336539b
5dsKgdk5cOiM3SFbv1tqKN,Consolation,Lee Young Hoon,코미디/힐링,https://open.spotify.com/track/5dsKgdk5cOiM3SFbv1tqKN,https://i.scdn.co/image/ab67616d0000b2731077ffb7e43ea69b91d58df0
3ds1TeerjR9tbdFCNSZp41,위로,편안한 음악,코미디/힐링,https://open.spotify.com/track/3ds1TeerjR9tbdFCNSZp41,https://i.scdn.co/image/ab67616d0000b273b738b4ddd980e4f7b81a8f0b
7MXtr93z4ltQzhfIxYnYWX,Shiny Star(2020),KyoungSeo,코미디/힐링,https://open.spotify.com/track/7MXtr93z4ltQzhfIxYnYWX,https://i.scdn.co/image/ab67616d0000b273d5ee449561462667a80f3e8d
6MzEXh13iE5RV4mmL1jcq6,アスノヨゾラ哨戒班,MARY,코미디/힐링,https://open.spotify.com/track/6MzEXh13iE5RV4mmL1jcq6,https://i.scdn.co/image/ab67616d0000b273fc82ab470776e6f723e6c487
1a5FwCTaUsKXQdVO3l6F9Q,밤하늘의 별을.. (With KCM & No Noo),Kiroy Y,코미디/힐링,https://open.spotify.com/track/1a5FwCTaUsKXQdVO3l6F9Q,https://i.scdn.co/image/ab67616d0000b273849726915a51de51de7641c4
